,Date,State,DailyIncrease,TotalStateCount,NationalPositiveCount
0,2020-12-06,AK,757,35720,14534035
1,2020-12-06,AL,2288,269877,14534035
2,2020-12-06,AR,1542,170924,14534035
3,2020-12-06,AS,0,0,14534035
4,2020-12-06,AZ,5376,364276,14534035
5,2020-12-06,CA,30075,1341700,14534035
6,2020-12-06,CO,3234,260581,14534035
7,2020-12-06,CT,0,127715,14534035
8,2020-12-06,DC,264,23136,14534035
9,2020-12-06,DE,816,39912,14534035
10,2020-12-06,FL,8175,1040727,14534035
11,2020-12-06,GA,1805,443822,14534035
12,2020-12-06,GU,27,7004,14534035
13,2020-12-06,HI,104,18842,14534035
14,2020-12-06,IA,1499,213390,14534035
15,2020-12-06,ID,1339,109705,14534035
16,2020-12-06,IL,7598,787573,14534035
17,2020-12-06,IN,6598,381617,14534035
18,2020-12-06,KS,0,168295,14534035
19,2020-12-06,KY,2567,200632,14534035
20,2020-12-06,LA,3946,251123,14534035
21,2020-12-06,MA,4827,256844,14534035
22,2020-12-06,MD,2643,215027,14534035
23,2020-12-06,ME,221,13348,14534035
24,2020-12-06,MI,0,426576,14534035
25,2020-12-06,MN,5581,350862,14534035
26,2020-12-06,MO,3876,322298,14534035
27,2020-12-06,MP,0,106,14534035
28,2020-12-06,MS,1473,164931,14534035
29,2020-12-06,MT,806,67875,14534035
30,2020-12-06,NC,6438,394990,14534035
31,2020-12-06,ND,477,82981,14534035
32,2020-12-06,NE,2243,138568,14534035
33,2020-12-06,NH,633,24771,14534035
34,2020-12-06,NJ,6030,368016,14534035
35,2020-12-06,NM,1232,108088,14534035
36,2020-12-06,NV,2511,168139,14534035
37,2020-12-06,NY,9702,705827,14534035
38,2020-12-06,OH,7592,475024,14534035
39,2020-12-06,OK,3241,216486,14534035
40,2020-12-06,OR,1253,84496,14534035
41,2020-12-06,PA,8630,420114,14534035
42,2020-12-06,PR,1139,56671,14534035
43,2020-12-06,RI,0,62137,14534035
44,2020-12-06,SC,2864,232099,14534035
45,2020-12-06,SD,687,85991,14534035
46,2020-12-06,TN,3072,400594,14534035
47,2020-12-06,TX,8573,1249323,14534035
48,2020-12-06,UT,2563,215407,14534035
49,2020-12-06,VA,3880,255053,14534035
50,2020-12-06,VI,0,1633,14534035
51,2020-12-06,VT,121,5015,14534035
52,2020-12-06,WA,1503,175793,14534035
53,2020-12-06,WI,3149,441067,14534035
